1,2,37
1,31,105
2,14,64
2,11,56
2,3,94
3,11,51
3,4,64
3,17,59
4,12,27
4,5,9
4,18,58
4,19,55
5,6,154
6,25,80
6,24,99
6,7,78
7,25,72
7,26,78
7,8,56
8,27,79
8,9,22
9,28,76
9,10,117
10,30,106
12,18,46
13,15,34
13,16,39
13,34,64
14,15,19
14,32,36
15,16,55
15,33,37
16,17,16
16,35,38
17,36,32
18,19,15
18,39,38
19,20,50
20,21,56
20,39,46
21,22,40
21,23,49
21,43,22
22,23,28
23,24,17
23,44,22
24,25,54
24,45,21
24,46,46
24,46,46
25,26,40
25,46,65
26,27,53
27,28,26
27,53,78
28,29,40
29,30,85
29,86,132
30,72,80
31,32,35
31,55,72
32,33,19
33,34,30
34,35,29
34,57,78
34,58,31
35,36,16
36,37,35
36,38,26
37,38,26
37,39,39
38,60,65
38,39,30
39,40,24
39,41,28
40,41,24
40,48,23
42,49,24
43,64,51
43,44,46
44,45,14
44,50,26
45,46,36
46,51,28
47,48,22
48,49,43
49,62,24
49,63,25
50,66,28
51,67,27
52,53,36
53,68,35
53,69,45
53,84,62
54,72,57
54,73,66
55,56,48
55,74,33
56,75,25
56,57,37
57,76,29
57,59,35
59,77,25
59,60,38
60,61,26
60,78,26
61,62,32
61,79,26
62,63,27
62,80,40
63,64,51
63,80,42
63,81,55
64,65,25
64,81,24
65,66,23
66,83,30
67,68,39
67,84,50
68,69,40
68,84,32
70,71,43
70,86,48
70,72,111
71,72,71
72,91,57
73,103,68
74,75,53
74,115,88
75,76,35
75,93,21
76,77,40
76,94,33
76,117,84
77,78,25
78,79,34
79,80,31
79,119,193
80,81,80
81,82,26
81,95,46
82,96,37
82,83,29
83,84,99
84,85,37
84,99,26
85,86,33
86,87,39
86,100,43
86,101,50
87,88,53
88,89,17
89,90,21
89,92,46
90,91,32
90,92,41
91,92,45
94,118,76
95,96,12
95,108,37
96,97,54
96,110,56
97,98,33
97,110,33
98,99,39
99,111,42
100,101,43
100,113,43
101,113,17
102,103,32
102,104,23
102,113,87
103,104,30
105,106,57
106,115,36
106,116,15
107,120,28
108,121,70
109,121,28
109,110,41
110,111,47
110,121,26
111,112,81
112,113,44
114,115,21
114,126,77
115,116,49
116,122,33
116,117,0
116,123,48
116,122,33
117,118,68
117,123,48
118,124,27
118,123,44
118,119,46
119,120,59
120,121,100
121,132,143
122,128,55
122,123,34
123,124,34
125,129,29
125,130,28
125,131,40
126,127,56
126,139,88
127,128,25
127,133,37
128,129,18
128,124,89
129,130,17
129,135,38
130,131,27
131,137,43
131,144,80
132,138,32
132,144,129
133,134,20
133,140,31
134,135,22
134,141,36
135,136,22
136,143,71
136,137,14
137,144,39
139,144,134
140,141,16
141,142,26
142,143,63
143,144,27
