50,61,1
87,63,2
181,68,3
245,68,4
254,68,5
408,62,6
486,65,7
542,62,8
564,61,9
681,59,10
135,91,11
224,85,12
133,103,13
90,127,14
109,127,15
164,127,16
180,127,17
244,126,18
258,121,19
286,162,20
342,165,21
373,139,22
391,161,23
408,161,24
452,129,25
490,143,26
543,141,27
569,137,28
598,165,29
683,165,30
55,166,31
90,163,32
109,164,33
139,167,34
168,165,35
184,164,36
209,140,37
210,166,38
240,164,39
234,187,40
258,186,41
287,189,42
347,186,43
393,183,44
407,182,45
441,193,46
225,212,47
246,207,48
289,213,49
393,209,50
437,221,51
478,221,52
513,213,53
752,220,54
56,238,55
104,238,56
140,245,57
153,195,58
174,238,59
211,231,60
237,231,61
269,227,62
294,238,63
345,237,64
369,230,65
391,237,66
452,244,67
491,240,68
528,255,69
590,255,70
629,238,71
700,243,72
743,285,73
54,271,74
106,263,75
139,274,76
177,263,77
201,255,78
235,257,79
264,267,80
344,261,81
367,273,82
395,267,83
494,272,84
531,274,85
559,291,86
594,274,87
647,272,88
649,289,89
670,290,90
700,300,91
668,331,92
106,284,93
170,285,94
349,307,95
361,310,96
414,299,97
445,311,98
481,295,99
544,331,100
587,332,101
670,340,102
702,339,103
681,360,104
91,296,105
109,350,106
276,336,107
328,337,108
415,373,109
413,332,110
460,331,111
541,336,112
583,349,113
55,366,114
74,357,115
123,356,116
123,356,117
191,358,118
237,357,119
296,356,120
396,352,121
125,389,122
159,388,123
193,385,124
159,421,125
49,443,126
104,454,127
127,444,128
145,446,129
162,449,130
189,447,131
286,444,132
103,491,133
123,490,134
144,484,135
166,487,136
180,489,137
301,472,138
53,531,139
106,522,140
122,526,141
148,524,142
187,527,143
208,544,144
