1,2,50,61,87,63
1,31,50,61,55,166
2,14,87,63,90,127
2,11,87,63,135,91
2,3,87,63,181,68
3,11,181,68,135,91
3,4,181,68,245,68
3,17,181,68,180,127
4,12,245,68,224,85
4,5,245,68,254,68
4,18,245,68,244,126
4,19,245,68,258,121
5,6,254,68,408,62
6,25,408,62,452,129
6,24,408,62,408,161
6,7,408,62,486,65
7,25,486,65,452,129
7,26,486,65,490,143
7,8,486,65,542,62
8,27,542,62,543,141
8,9,542,62,564,61
9,28,564,61,569,137
9,10,564,61,681,59
10,30,681,59,683,165
12,18,224,85,244,126
13,15,133,103,109,127
13,16,133,103,164,127
13,34,133,103,139,167
14,15,90,127,109,127
14,32,90,127,90,163
15,16,109,127,164,127
15,33,109,127,109,164
16,17,164,127,180,127
16,35,164,127,168,165
17,36,180,127,209,140
18,19,244,126,258,121
18,39,244,126,240,164
19,20,258,121,286,162
20,21,286,162,342,165
20,39,286,162,240,164
21,22,342,165,373,139
21,23,342,165,391,161
21,43,342,165,347,186
22,23,373,139,391,161
23,24,391,161,408,161
23,44,391,161,393,183
24,25,408,161,452,129
24,45,408,161,407,182
24,46,408,161,441,193
24,46,408,161,441,193
25,26,452,129,490,143
25,46,452,129,441,193
26,27,490,143,543,141
27,28,543,141,569,137
27,53,543,141,513,213
28,29,569,137,598,165
29,30,598,165,683,165
29,86,598,165,559,291
30,72,683,165,700,243
31,32,55,166,90,163
31,55,55,166,56,238
32,33,90,163,109,164
33,34,109,164,139,167
34,35,139,167,168,165
34,57,139,167,140,245
34,58,139,167,153,195
35,36,168,165,184,164
36,37,184,164,209,140
36,38,184,164,210,166
37,38,209,140,210,166
37,39,209,140,240,164
38,60,210,166,211,231
38,39,210,166,240,164
39,40,240,164,234,187
39,41,240,164,258,186
40,41,234,187,258,186
40,48,234,187,246,207
42,49,287,189,289,213
43,64,347,186,345,237
43,44,347,186,393,183
44,45,393,183,407,182
44,50,393,183,393,209
45,46,407,182,441,193
46,51,441,193,437,221
47,48,225,212,246,207
48,49,246,207,289,213
49,62,289,213,269,227
49,63,289,213,294,238
50,66,393,209,391,237
41,42,258,186,287,189
51,67,437,221,452,244
52,53,478,221,513,213
53,68,513,213,491,240
53,69,513,213,528,255
53,84,513,213,494,272
54,72,752,220,700,243
54,73,752,220,743,285
55,56,56,238,104,238
55,74,56,238,54,271
56,75,104,238,106,263
56,57,104,238,140,245
57,76,140,245,139,274
57,59,140,245,174,238
59,77,174,238,177,263
59,60,174,238,211,231
60,61,211,231,237,231
60,78,211,231,201,255
61,62,237,231,269,227
61,79,237,231,235,257
62,63,269,227,294,238
62,80,269,227,264,267
63,64,294,238,345,237
63,80,294,238,264,267
63,81,294,238,344,261
64,65,345,237,369,230
64,81,345,237,344,261
65,66,369,230,391,237
66,83,391,237,395,267
67,68,452,244,491,240
67,84,452,244,494,272
68,69,491,240,528,255
68,84,491,240,494,272
70,71,590,255,629,238
70,86,590,255,559,291
70,72,590,255,700,243
71,72,629,238,700,243
72,91,700,243,700,300
73,103,743,285,702,339
74,75,54,271,106,263
74,115,54,271,74,357
75,76,106,263,139,274
75,93,106,263,106,284
76,77,139,274,177,263
76,94,139,274,170,285
76,117,139,274,123,356
77,78,177,263,201,255
78,79,201,255,235,257
79,80,235,257,264,267
79,110,235,257,413,332
80,81,264,267,344,261
81,82,344,261,367,273
81,95,344,261,349,307
82,96,367,273,361,310
82,83,367,273,395,267
83,84,395,267,494,272
84,85,494,272,531,274
84,99,494,272,481,295
85,86,531,274,559,291
86,87,559,291,594,274
86,100,559,291,544,331
86,101,559,291,587,332
87,88,594,274,647,272
88,89,647,272,649,289
89,90,649,289,670,290
89,92,649,289,668,331
90,91,670,290,700,300
90,92,670,290,668,331
91,92,700,300,668,331
94,118,170,285,191,358
95,96,349,307,361,310
95,108,349,307,328,337
96,97,361,310,414,299
96,110,361,310,413,332
97,98,414,299,445,311
97,110,414,299,413,332
98,99,445,311,481,295
99,111,481,295,460,331
100,101,544,331,587,332
100,113,544,331,583,349
101,113,587,332,583,349
102,103,670,340,702,339
102,104,670,340,681,360
102,113,670,340,583,349
103,104,702,339,681,360
105,106,91,296,109,350
106,115,109,350,74,357
106,116,109,350,123,356
107,120,276,336,296,356
108,121,328,337,396,352
109,121,415,373,396,352
109,110,415,373,413,332
110,111,413,332,460,331
111,112,460,331,541,336
112,113,541,336,583,349
114,115,55,366,74,357
114,126,55,366,49,443
115,116,74,357,123,356
116,122,123,356,125,389
116,117,123,356,123,356
116,123,123,356,159,388
116,122,123,356,125,389
117,118,123,356,191,358
117,123,123,356,159,388
118,124,191,358,193,385
118,123,191,358,159,388
118,119,191,358,237,357
119,120,237,357,296,356
120,121,296,356,396,352
121,132,396,352,286,444
122,128,125,389,127,444
122,123,125,389,159,388
123,124,159,388,193,385
125,129,159,421,145,446
125,130,159,421,162,449
125,131,159,421,189,447
126,127,49,443,104,454
126,139,49,443,53,531
127,128,104,454,127,444
127,133,104,454,103,491
128,129,127,444,145,446
128,124,127,444,193,385
129,130,145,446,162,449
129,135,145,446,144,484
130,131,162,449,189,447
131,137,189,447,180,489
131,144,189,447,187,527
132,138,286,444,301,472
132,144,286,444,187,527
133,134,103,491,123,490
133,140,103,491,106,522
134,135,123,490,144,484
134,141,123,490,122,526
135,136,144,484,166,487
136,143,166,487,208,544
136,137,166,487,180,489
137,144,180,489,187,527
139,144,53,531,187,527
140,141,106,522,122,526
141,142,122,526,148,524
142,143,148,524,208,544
143,144,208,544,187,527
